ID;font;en;zh-Hans;zh-Hant;th;es;de;ja;ko;Comment
V110_ME_NAME;7; You ; 我 ; 我 ;ฉัน;;;;;
V110_SHAREREWARD;7;Earn 30;获得%d;获得%d;ได้รับ;;;;;
V110_SHAREREWARD_ONE;7;Earn 30;分享;分享;แชร์;;;;;
V110_DAILYREWARD;7;Daily Reward;每日奖励;每日奖励;โบนัสประจำวัน;;;;;
V110_UNLIMITLIFE;7;Daily Reward;无限体力;无限体力;พลังไร้ขีดจำกัด;;;;;
V140_INVITE_TITLE;1;Daily Reward;邀请好友;邀请好友;เชิญเพื่อน;;;;;
V140_WXINVITEBTN;1;Daily Reward;邀请微信好友;邀请微信好友;เชิญเพื่อนในวีแชท;;;;;
V140_WXINVITELISTBTN;1;Daily Reward;查看已邀请好友;查看已邀请好友;ตรวจสอบเพื่อนที่ทำการเชิญแล้ว;;;;;
V140_INVITE_T;7;Daily Reward;邀请;邀请;คำเชิญ;;;;;
V140_ENTER_NAME;6;Daily Reward;请输入一个昵称;请输入一个昵称;กรอกชื่อ;;;;;
V140_(D)_INVITE;7;Daily Reward;%d位好友;%d位好友;%dเพื่อน;;;;;
V140_(D)_HOUR;6;Daily Reward;%d小时;%d小时;%dชั่วโมง;;;;;
V140_UNLIMITLIFE;2,6;Daily Reward;无限体力;无限体力;พลังไร้ขีดจำกัด;;;;;
V140_ISUSED;6;Daily Reward;已使用;已使用;ใช้แล้ว;;;;;
V140_BRANCH_PLAY;5;PLAY;挑战;挑战;เล่น;;;;;
V140_SKIP;5;Skip;跳过;跳过;ข้าม;;;;;
V140_ALLREADY_INVITE_(D);6;Daily Reward;已经成功邀请%d位好友;已经成功邀请%d位好友;ทำการขอเพื่อน%dคนแล้วสำเร็จแล้ว;;;;;
V140_INVITE_ONLYONETIME;7;Daily Reward;已送别人无限生命的好友不会出现在此列表中;已送别人无限生命的好友不会出现在此列表中;คุณได้ทำการส่งพลังงานไร้ขีดจำกัดให้เพื่อนแล้ว เพราะฉะนั้นจะไม่ปรากฏที่ตารางนี้อีก;;;;;
